Sl.No.,Company Name,Sector,Core Role / Others,Course,School,Profile / Designation,Job Location,UG/PG,Posting Date,Posting Month,Internship Cum PPO Offer,SS_JD,Year
161,Nightingale Medical Trust,Professsional Services,Psychology,M.Sc,School of Sciences,Psychologist and Social Worker,Bengaluru,PG,22-Aug-23,August,Fulltime,"Good communication / Interpersonal skills / Leadership qualities / Coordinating skills/ Adaptability / Innovative approach/ Counselling. Assisting in the overall responsibility for the functioning of a Residential Care Facility.
Perform cognitive and psychological assessments for elders with dementia.
Assign cognitive stimulation activities based on the patient’s cognitive capacity, interest and hobbies.
Coordinate with Nurses and Caregivers to develop care plans and ensure that the same is followed by concerned staff.
Coordinate with patient families regarding visits and feedback.",2024
162,OG Healthcare,Healthcare / Pharmaceutical,Any Specialization,B.Sc / M.Sc,School of Sciences,Medical Scribes,Bengaluru,UG / PG,8-Dec-23,December,Fulltime,"good written English.

  Medical scribes live in the doctors eyes and ears, maintaining real-time bi-directional connectivity into EHR. Technology allows a doctor wearing smart glasses or a mobile phone to transmit video from a patient visit to a remote scribe to update EHR in real-time. In response to any queries, the technology allows scribes to send patient information to the doctor. Medical scribing is truly a healthcare career, not back office medical transcription.",2024
163,PlanetSpark,Ed- tech,Psychology,M.Sc,School of Sciences,Counsellor,Gurgoan,PG,13-Feb-24,February,Fulltime,"- The Business Development Counselor interacts with parents or adult learners after they have taken a demo class and have experienced the product. Since these are high intent nurtured leads, there is no cold-calling required.

The role involves achieving weekly revenue targets by:

Inviting parents or the adult learner to a video counselling session

Conducting a detailed video counselling session with the decision-makers and taking them closer to their decision to purchase

Looking at the entire sales lifecycle, starting from engaging with parents till final conversion i.e. enrolment in the program

Looking forward to students with excellent English communication skills and should be enthusiastic about the inside sales profile.",2024
164,Resil Chemicals,Healthcare / Pharmaceutical,Biotechnology / Biochemistry / Microbiology,M.Sc,School of Sciences,Research Trainee Intern,Bengaluru,PG,3-Jan-24,January,Fulltime,"New technology development and application testing of enzyme based formulations.
Probiotic technology engineering, upscaling and downscaling experience.
Research and development in textile formulations.
Product development from biodegradable and natural raw materials.
New process developments in sustainable products line.
Leadership capabilities to take initiatives in R&D.
Good practical experience in pre and probiotic product development for food or textile industry.
Textile processes knowledge (theoretical). Students should come from MSc in biotechnology, biochemistry, microbiology background with experience in enzyme based formulations development, new product development in textile formulations and fermentation technology experience.",2024
165,RS Academy (Refining Skills Pvt Ltd),Ed- tech,Data Science / Physics / Psychology  ,B.Sc / M.Sc,School of Sciences,Educator,Bengaluru,UG / PG,10-Feb-24,February,Fulltime,"• Must Enjoy Working with Children.
• Brilliant subject knowledge in Maths.
• Proficiency in Zoom and Google meet.
• Operate Google Drive and all elements of Google Workspace.
• Patient, positive, consistent, dependable, and cooperative with a good sense of humor. • Prepare and deliver lessons to classes of different ages and abilities.
• Conduct classes online, offline, one-on-one, and at the student’s residence.
• Prepare pupils for qualifications and external examinations.
• Correction of answer sheets; give appropriate feedback and maintain records of pupils'
progress and development.
• Manage pupil behavior in the classroom and on institute premises, and apply appropriate
and effective measures in cases of misbehavior.
• Research new topic areas, maintain up-to-date subject knowledge and devise and write
new curriculum materials.
• Select and use various learning resources and equipment.
• Emotionally support the students with a holistic purpose.
• Communicate with parents and carers over pupils' progress and participate in
departmental meetings, PTM, and training events.
• Liaise with other professionals, such as learning mentors, career advisers, educational
psychologists, and education welfare officers.
• Organize and participate in activities such as outings, social activities, and other events",2024
166,Seikor,Research and Consulting,Data Science / Analytics,M.Sc,School of Sciences,Intern,Remote,PG,22-Dec-23,December,Fulltime,"Engaging but easy-to-learn roles in projects
Learn & Contribute to developing technologies that companies are currently working on in the AI space 
Join a global community and meet entrepreneurial taskers like you 
Enjoy the safety & flexibility of working remotely. All you need is a computer & internet.   Solving real world coding problems for AI modelling - Writing test cases to confirm code works efficiently and effectively - Writing human-readable summaries of coding problems - Writing explanations of how code can solve problems and why the approach is sound - No previous experience with AI necessary! You will receive detailed instructions on what is expected of you after you complete the application and verification process. ",2024
167,Shadowfax Technologies,Logistics & Supply Chain,Forensic Science,M.Sc,School of Sciences,Strategic Planning and Analytics,Bengaluru,PG,13-Dec-23,December,Fulltime,"Forensic/Investigation skills
Strategic Planning
People Management
Attention to details
Stakeholder Management
Strong communication Skills
Risk Assessment skills
Ethics & Integrity
Problem solving
Effective Case Study and solution skills We at Shadowfax are looking forward to have you on our team to be a part of Audit, SPnA (Strategic Planning and Analytics).",2024
168,shubha councelling services,Research and Consulting,Psychology,M.Sc,School of Sciences,Clinical/ Counselling Psychology,Bengaluru,PG,1-Feb-24,February,Internship,"undertake assessments, including assessment of mental health needs, risk assessment and psychometric testing
establish a collaborative working relationship with the client based on trust and respect
formulate a psychological explanation of the client's issues, exploring their experiences and how they think, how they behave and relate to others, and how they carry out their everyday lives
plan and implement specialist psychological treatments to help clients to understand their feelings/behaviour
empower clients to address their issues, take control of them and make positive changes to their behaviour
monitor and evaluate the outcome of treatments
collaborate with - and provide advice to - colleagues, the broader multidisciplinary team and referrers in the planning of treatment and provision of services to meet the client's needs
communicate complex, technical and/or clinically sensitive information clearly, both orally and in writing, to clients, their families and carers
contribute to research, service evaluation and audit, either individually or as part of a team
receive regular clinical and professional supervision from a more senior psychologist
carry out continuing personal and professional development to keep your knowledge and skills up to date. Identify psychological, emotional or behavioral issues
Diagnose psychological, emotional or behavioral disorders
Develop and implement treatment plans and therapeutic processes
Help clients define goals and plan action to achieve personal, social, educational and vocational development and adjustment
Monitor client progress through regular meetings or sessions
Teach classes
Conduct research
Publish research findings in industry journals.",2024
169,Societe Generale,Research and Consulting,Forensic Science,M.Sc,School of Sciences,Cyber Security,Bengaluru / Chennai,PG,14-Sep-23,September,Fulltime,"• Assist business lines in conducting InfoSec assessments/audit to ensure information security
controls are up and running effectively managed.
• Proficient with Microsoft office suite.
• Excellent communication skills (written and verbal) including proven experience presenting
to senior stakeholders.
• Good to have Certifications like COMPTIA and CEH Position Philosophy:
• Cyber Security mindset with awareness to C.I.A Triad
• Responsible for taking care of all the role deliverables.
• Responsible for handling various activities like participating in review meetings, preparing
and presenting reports to various stakeholders.
• Leveraging coding/ automation skills to support operational efficiencies processes
Technology:
Good Understanding of below –
• IT Infrastructure (DNS, DHCP, Active Directory, Firewall, Proxies etc..) and Cloud Infrastructure
(AWS,Azure or other cloud providers).
• IT security tools like - DLP, IAM, PAM, SIEM etc..
• IT Infrastructure and protection - End point solutions, proxy controls for filtering exceptions,
blocklists, antivirus solution (e.g.Symantec, McAfee, etc) and patch management.
• Foundational knowledge of Vulnerability assessment and Penetration testing",2024
170,Sogo Computers Pvt Ltd,IT / ITES,Biochemistry / Renewable Energy,B.Sc / M.Sc,School of Sciences,Executive- Carbon Credit Business,Bengaluru,UG / PG,4-Mar-24,March,Fulltime,"- Identify potential carbon credit suppliers and establish partnerships to procure high-quality carbon credits that align with the organization's sustainability objectives
Build and maintain strong relationships with carbon credit sellers, including project developers, carbon offset providers, and brokers, to ensure a reliable supply of credits
Maintain accurate records and generate reports on carbon credit
Proven experience in carbon credit procurement, sustainable finance, or related fields purchases, utilization, and impact measurement
Strong knowledge of carbon offset markets, international protocols, and standards such as Verified Carbon Standard (VCS), Gold Standard, and Clean Development Mechanism (CDM) will be added advantage
Familiarity with greenhouse gas emissions accounting and reporting methodologies",2024
171,Tata Consultancy Services (TCS),IT / ITES,Any Specialization,B.Sc,School of Sciences,Business Process Services,PAN INDIA,UG,1-Sep-23,September,Fulltime,- -,2024
172,Tata Consultancy Services (TCS),IT / ITES,Any Specialization,B.Sc,School of Sciences,TCS BPS Role,Bengaluru,UG,12-Sep-23,September,Fulltime,- -,2024
173,Tata Consultancy Services (TCS),IT / ITES,Any Specialization,B.Sc,School of Sciences,Business / IT,PAN INDIA,UG,1-Dec-23,November,Fulltime,"- Course Types:Only full-time courses will be considered (part-time / correspondence courses will not be considered). Candidates who have completed their Secondary and / or Senior Secondary course from NIOS (National Institute of Open Schooling) are also eligible to apply if the other courses are full-time.
Highest Qualification: Candidates should have completed the course in the stipulated course duration (i.e., No extended education 3 years course should have been completed in the stipulated 3 years time only)
Percentage: Minimum aggregate (aggregate of all subjects in all semesters) of 50% or above or equivalent CGPA in each of 'Class 10th, Class 12th, Diploma (if applicable), Graduation which includes successful completion of final year / semester
Backlogs: 1. Batch of 2023should not have any backlogs at the time of appearing for TCS Selection process. The course should have been completed within the stipulated duration of the course. 2. Batch of 2024: One active backlog at the time of appearing for the TCS selection process is permitted. However, it is mandatory that the course be cleared and completed within the stipulated time duration of the course without any backlogs to be eligible for joining TCS if selected.
Gap / Break in Education: It is mandatory for students to declare gaps in education, if any in TCS Application Form. The overall academic gap should not exceed 24 months until the highest qualification. Relevant document proof, as applicable, will be checked for gaps in education.
Extended education: it is mandatory that the course be cleared and completed within the stipulated time duration of the course without any backlogs to be eligible for joining TCS if selected.
Work Experience: Please note, the role is for Entry Level Requirement. However, prior work experience, if any is required to be mandatorily declared by the candidates in the TCS Application Form. And necessary documents supporting this experience is required to be submitted by the candidates at the time of TCS Selection Process.",2024
174,Tata Elxsi,IT / ITES,Forensic Science,M.Sc,School of Sciences,Engineer,PAN INDIA,PG,26-Aug-23,August,Fulltime,"In this role, you will be successful, if
you have: • Postgraduate or graduate in Computer Science,
Computer Applications, Information Science, Information
Security, Electronics and Electrical, Electrical &
Communication. • Good Programming fundamentals and
keen interests and openness to write code that confirms to
the Industry best practices. • Passion to learn and adapt

new/emerging technologies. • Good analytical & problem-
solving skills. • Willingness and passion to take ownership

and pride in everything you do and stand by what you
deliver. • A good team player with good communication
skills. • Ability to multi-task & be flexible as business needs
vary. In this role, you will be responsible
for: • Execute assigned module or tasks as per defined Tata
Elxsi (TEL) full software development life cycle (SDLC) •
Develop flowcharts, layouts and documentation to identify
requirements and solutions • Document and maintain
software functionality • Design, coding and testing. • Assist
Module Lead/Project Lead in conducting traceability study
and specification preparation. • Participate in project reviews.
• Project status reporting and documentation. • Ensure work
compliance to TEL standards. Note: Technical skills would
vary depending on different business requirements.",2024
175,Thomson Reuters,Media / Entertainment,Any Specialization,B.Sc,School of Sciences,QA Automation Engineer,Bengaluru,UG,17-Oct-23,October,Fulltime,"Proficient knowledge in software testing automation.
Good knowledge of Software development cycles.
Good knowledge of QA and Testing.
Experience in writing Automation scripts unsing  Python, postman, javascript is essential.
Familiarity with coding and developing concepts.
Excellent writing and communication skills.
Excellent organizational and time-management skills. Provides input for the planning, integration, casing, scripting, and execution of all testing required of a single software change or a small module/component. (Note – AQA provides input for planning and estimates)
Reviews business requirements and designs specifications for less complex changes/systems for completeness and testability.
Develops test scripts for automation whereas AQA’s are not expected to develop the scripts. (Note – AQA provides input into test plans.)
Conducts testing using company-specific, manual or automated processes.
Executes test scripts/cases and communicates the results of testing with guidance if required.
Tests modules of medium software products or smaller stand-alone software products to ensure proper operation and freedom from defects.
Conducts root cause analysis and correlation of other system and/or problems of low complexity
Works on smaller, minimally complex projects/issues that require a singular area of expertise
Typically works as a member of a single QA or Process team.
Works on projects/changes of minimal to medium complexity.
Reports progress on problem resolution to management.
Performs work flow analysis and recommends quality improvements.",2024
176,TrialGuna Pvt Ltd,Professsional Services,Any Specialization,B.Sc / M.Sc,School of Sciences,Intern,Bengaluru,UG / PG,20-Dec-23,December,Internship,"- Trial Guna is offering internship opportunities in the field of
Clinical Research for individuals with a passion to learn and
a degree in Life Sciences/Pharma. This 3-month internship
will provide you with hands-on experience in the dynamic
world of pharmaceutical research.",2024
177,Unacademy,Ed- tech,Chemistry / Physics,M.Sc,School of Sciences,EDUCATOR,Pan India,PG,10-Nov-23,November,Fulltime,"Teaching and instruction
Subject matter expertise
Classroom management
Assessment and evaluation
Adaptability and flexibility
Communication and interpersonal skills
Critical thinking and problem-solving Teaching and Instruction:

Plan and deliver effective lessons, workshops, or training sessions to meet educational objectives.
Utilize diverse teaching methodologies and materials to accommodate different learning styles.
Curriculum Development:

Collaborate with curriculum developers to design and enhance educational materials like question bank/Daily Assignment and other resources to cater student’s differential academic needs.
Adapt curriculum to address specific needs or requirements.
Assessment and Evaluation:

Administer assessments, tests, or assignments to evaluate student/participant
    performance and progress.

Provide constructive feedback and guidance to help individuals improve.
Classroom Management:

Maintain a positive and inclusive classroom or learning environment.
Manage student/participant behavior and ensure a safe and respectful atmosphere.
Individualized Support:

Identify and address the unique learning needs of students/participants.
Offer extra help, mentorship, accommodations, or additional resources as needed.
Record Keeping:

Maintain accurate records of attendance, grades, and other relevant data.
Prepare reports on student/participant performance.
Communication:

Communicate effectively with students/participants, parents (if applicable), and
    colleagues.

Attend parent-teacher conferences or meetings as required.
Professional Development:

Stay updated on educational best practices, teaching techniques, and relevant subject matter.
Attend professional development sessions and workshops.",2024
178,Vedantu,Ed- tech,Chemistry / Physics / Psychology ,B.Sc / M.Sc,School of Sciences,Student Mentor,Bangaluru,UG / PG,9-Feb-24,February,Fulltime,"Previous experience in student mentoring, counseling, or educational support is preferred.
Strong interpersonal and communication skills.
Empathetic and patient with a genuine passion for helping students succeed.
Ability to adapt to different learning styles and needs.
Proficient in using educational technology and online learning platforms. Student Support and Guidance:
Provide one-on-one academic support to students, helping them understand complex concepts and improve their learning outcomes.
Assess students' strengths and weaknesses and create personalized study plans to address their individual needs.
Monitor and track students' progress, identify areas of improvement, and make necessary adjustments to their learning plans.
Retention Strategies:
Develop and implement strategies to enhance student retention rates by fostering a sense of belonging and engagement within the Vedantu learning community.
Identify at-risk students and intervene proactively to address their challenges and concerns.
Collaborate with the counseling and support teams to provide social and emotional support to students.
Parent and Teacher Communication:
Maintain open and effective communication with parents and teachers to ensure a holistic approach to student development.
Organize parent-teacher conferences and meetings to discuss student progress and improvement plans.
Act as a liaison between parents and teachers, addressing concerns and facilitating productive discussions.
Resource Development:
Curate and create educational resources, including study materials, practice exercises, and learning tools, to aid student learning.
Stay up-to-date with the latest educational trends and methodologies to enhance the quality of mentorship.
Data Analysis and Reporting:
Collect and analyze data related to student performance and retention rates to identify trends and areas for improvement.
Prepare regular reports on student progress, interventions, and outcomes for management and stakeholders.",2024
179,WPA (World Class Services (India) Pvt Ltd,Professsional Services,Bio-Chemistry / Biotechnology / Chemistry / Data Science,B.Sc / M.Sc,School of Sciences,Knowledge Process Associate,Bengaluru,UG / PG,5-Mar-24,March,Fulltime,"- Accurately identify the correct customer/document type and index them into the appropriate workflow.
Precisely transpose information related to medical expense invoices.
Verify applications for WPA recognition and escalate to the UK Team if verification cannot be established.
Perform administrative updates to Medical Provider records and escalate issues to a senior team member when necessary.
Compile small to medium company quotes with a high level of accuracy.
Accurately transpose and validate information on medical expense invoices and process them through the payment system, escalating issues to senior WCS members or the UK Team as needed.",2024
180,YourDost,Healthcare / Pharmaceutical,Psychology,M.Sc,School of Sciences,In-House Psychologist,Bengaluru,PG,29-Dec-23,December,Fulltime,"Belief in the effectiveness of online counselling

Great Communication Skills (written and verbal)

Good negotiating skills

Ability to organise and design programs Providing Counselling to clients (Chat/Telephonic/F2F)

Becoming the quality gatekeeper (Supervision/Quality Reviews)

Engaging Experts in various activities

Creating various self-help modules",2024
181,Zoechea Wellbeing Center,IT / ITES,Psychology,M.Sc,School of Sciences,"Counseling Psychology Intern
",Bengaluru,PG,27-Nov-23,November,Fulltime,"Enrollment in or recent completion of a Master's or Doctoral program in Counseling Psychology or a related field.
Strong interpersonal and communication skills.
Compassion, empathy, and a strong desire to help others.
Willingness to learn and adapt to various counseling techniques and approaches.
Strong commitment to maintaining client confidentiality and ethical standards.
Reliable and punctual with a professional attitude. Counseling and Support: Provide individual and group counseling to clients under the supervision of licensed psychologists or counselors.

Assessment: Assist in the assessment and evaluation of clients' mental health and develop treatment plans.

Record Keeping: Maintain accurate and confidential client records and progress notes.

Training: Participate in ongoing training sessions and professional development opportunities provided by the center.

Collaboration: Work collaboratively with the counseling team and other staff members to support client needs.

Research: Assist in conducting psychological research and staying up-to-date with the latest developments in the field.

Community Engagement: Participate in outreach and community education programs to promote mental health awareness and wellbeing.",2024
182,Fresh Prints,Financial services,Psychology,M.Sc,School of Sciences,Counseling Psychology Intern ,Bengaluru,PG,27-Nov-23,November,Fulltime,"Enrollment in or recent completion of a Master's or Doctoral program in Counseling Psychology or a related field.
Strong interpersonal and communication skills.
Compassion, empathy, and a strong desire to help others.
Willingness to learn and adapt to various counseling techniques and approaches.
Strong commitment to maintaining client confidentiality and ethical standards.
Reliable and punctual with a professional attitude. Zoechea Wellbeing Center is seeking motivated and passionate individuals for a Counseling Psychology Internship with training opportunities. As an intern, you will have the chance to work with experienced professionals in the field of counseling psychology, gain practical experience, and contribute to the wellbeing of our clients.

Key Responsibilities:

Counseling and Support: Provide individual and group counseling to clients under the supervision of licensed psychologists or counselors.

Assessment: Assist in the assessment and evaluation of clients' mental health and develop treatment plans.

Record Keeping: Maintain accurate and confidential client records and progress notes.

Training: Participate in ongoing training sessions and professional development opportunities provided by the center.

Collaboration: Work collaboratively with the counseling team and other staff members to support client needs.

Research: Assist in conducting psychological research and staying up-to-date with the latest developments in the field.

Community Engagement: Participate in outreach and community education programs to promote mental health awareness and wellbeing.",2024
183,Sankey Solutions,E- Commerce,Data Science,B.Sc / M.Sc,School of Sciences,Solution Analyst,Mumbai / Thane,UG / PG,14-Mar-24,March,Fulltime,"- Develop high performance mobile and web applications in Artificial Intelligence, Machine

Learning, Android, iOS and various frontend and backend technologies.

Create requirements, design documentation and test plans for above, adhering to standard

templates provided by the organization

Write clean, maintainable, efficient code that confirms to software development standards.

Well versed with multiple front end and backend technologies such as Angular, BootStrap, Node, PHP, Spring, ReactJS, etc.

Understand full stack development process and is familiar with REST.

Can interact with client directly on requirement gathering, delivery planning and

implementation.",2024
184,Syndicate Forensic Services Pvt Ltd,IT / ITES,Forensic Science,B.Sc / M.Sc,School of Sciences,Field officer,"Bengaluru / Chennai / Kochi
",UG / PG,21-Mar-24,March,Fulltime,"- 1. To visit the scene of occurrence / vehicular accident
2. To take photographs of vehicles.
3. To collect evidence and necessary documents. 
4. To obtain necessary documents from officials.
5. To interview concerned people like insured, eye-witness etc. 
 ",2024
185,Sal Biosciences Pvt Ltd (Sal BioSc),Manufacturing,Bio-Chemistry / Biotechnology / Chemistry / Microbiology,B.Sc / M.sc,School of Sciences,1. Scientific / Data Analyst 2. Marketing executive (Medical field),Bengaluru,UG / PG,21-Mar-24,March,Fulltime,- -,2024
186,BrainSightAI,Hospitality,Psychology,M.Sc,School of Sciences,Research Education,Bengaluru,PG,22-Mar-24,March,Fulltime,- -,2024
187,Go Digital Technologies,IT / ITES,Data Science,B.Sc / M.Sc,School of Sciences,Data Engineer,Mumabi / Pune,UG / PG,28-Mar-24,March,Fulltime,"• Basic understanding of the Big data tools: Hadoop, Spark, Kafka, etc.
• Excellent understanding of T-SQL programming and Microsoft SQL Server or any other similar tools.
• Demonstrated knowledge of large, relational databases and data structures.
• Analytical and problem-solving skills to identify defects or inconsistencies.
• Understanding of ETL concepts.
• Communication and presentation skills with demonstrated ability to converse with all levels of staff and
management. • Create and maintain optimal data pipeline architecture. • Assemble large, complex data sets that meet functional / non-functional business requirements. • Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and AWS ‘big data’ technologies. • Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs. • Responsible for performing data analytics and present meaningful recommendations and insights for all other teams both on-shore and off-shore.",2024
188,Fractal Analytics,Financial services,Any Specialization,B.Sc,School of Sciences,Campus program: Imagineer,Bengaluru / Chennai / Gurgaon / Mumbai / Pune,UG,28-Mar-24,March,Fulltime,"- Imagineer would go through a dynamic program offering them variety of projects with exposure to business value chain. This will give them an opportunity to experiment within our 6 career tracks namely AI Engineer, Information Architect, Decision Scientist, Designer, Data Scientist & Data Engineer for scaled problem solving. ",2024
189,Myntra,E- Commerce,Data Science,M.Sc,School of Sciences,Data Analyst ,Mumbai / Maharashtra,PG,5-Apr-24,April,Fulltime,"Proven working experience as Data Analyst
Hands on experience in MySQL or strong knowledge of database designing and development, data mining and segmentation techniques
Strong knowledge of programming languages such as Python / R
Strong knowledge of visualization or building dashboards in Excel / Tableau / Power BI
Strong analytical skills with the ability to collect, organize, analyze, and disseminate
Significant amounts of information with attention to detail and accuracy End-to-end ownership of analytical problems for SCM Business
Data integration and building a data warehouse for automating the Business Intelligence system
Building templates, dashboards for operational and management reporting",2024
190,DataGrokr Analytics Private Limited,IT / ITES,Data Science,M.Sc,School of Sciences,Software Development Intern ,Bengaluru,PG,16-Apr-24,April,Fulltime,"Passion for software development and interest to work in cloud engineering and data

engineering projects.

Proficiency in Python programming language.

Good knowledge of SQL and database management systems.

Excellent problem-solving skills and a passion for learning new technologies.

Strong communication and collaboration skills.

Can-do attitude and take pride in your work.

Desire to develop leadership skills. We are looking for energetic interns to join our software development team. As a member of this

team, you will:

Collaborate with the development team to design, develop, and implement software

solutions.

Gain practical experience in different cloud platforms (AWS/Azure/GCP) and delve deep into

the various Cloud services.

Assist in implementing DevOps practices to streamline software development and

deployment processes.

Develop and maintain Python scripts and applications for various purposes.

Utilize SQL for database management and data manipulation tasks.

Gain experience in building ETL pipelines, large scale data platforms, data warehouses and

data lakes in on premises and cloud.

Work on real-life projects and have independent deliverables that you will be responsible for.

Work with extremely talented peers and follow modern engineering practices using agile

methodologies.

Prepare your career for becoming a battle-hardened software professional.",2024
191,Bootlabs,IT / ITES,Data Science,M.Sc,School of Sciences,Software Engineer - Trainee,Bengaluru,PG,17-Apr-24,April,Fulltime,"- Roles and Responsibilities

 We are looking for dynamic people who will be able to create path-breaking software solutions. You will work as part of an agile & young Software Development Team.

Should be smart and have high logical ability
Should have a sound understanding of C / C++ / Java / Python / C# / JavaScript etc.
Work closely with our product and design teams to build new and innovative application experiences for our users.
Ability to design and code complex programs
Logical thinking and problem-solving skills along with an ability to collaborate Technical and Functional Requirements
Willingness to learn continuously.",2024
192,Disha Lifestyle Pvt Ltd,Manufacturing,Data Science / Analytics,B.Sc / M.Sc,School of Sciences,MIS Executive,Ahmedabad,UG / PG,23-Apr-24,April,Fulltime,"Should have a proactive attitude, demonstrating good communication skills and willingness to learn and take responsibilities.
Good understanding of Excel. Knowledge of Vlookup, Pivot Table and Tables & Graphs is a bonus.
Ability to work independently and collaboratively in a team environment. As an MIS Executive, you will be required to work with data.
A good understanding of Excel for reporting and analysis work is required.
Generate reports and insights based on gathered data, providing valuable information to support decision-making processes.
Familiarity with any ERP software is a bonus.
Good in communication skills and in working as part of a team.",2024
193,Softcrylic,Retail,Data Science / Analytics,M.Sc,School of Sciences,Data Analyst & Engineer,Chennai,PG,24-Apr-24,April,Fulltime,"- Possesses a keen analytical mind with attention to detail and accuracy.
Proven experience working with large data sets and deriving insights from data using
various business intelligence and data analytics tools.
Self-starter, motivated to help drive company agenda.
Strong planning processes and skills
Agile thinker, quick learner
Flexibility to adjust course as we learn from our early work.
Has grit knows how to recover from mistakes and failures and bounce back to win.
Demonstrated ability to learn and master new technologies and concepts.
Ability to lead simultaneous initiatives in an entrepreneurial environment.
Candidate should have mindset of working on different aspects of the data domains like",2024
194,HCL Technologies,IT / ITES,Data Science / Analytics,B.Sc,School of Sciences,Graduate Trainee,Pan INDIA,UG,25-Apr-24,April,Fulltime,- -,2024
195,Tardid Technologies,IT / ITES,Data Science / Analytics,M.Sc,School of Sciences,Machine Learning Engineer,Bengaluru,PG,25-Apr-24,April,Fulltime,"Hands on real-time experience in Deep Learning models for computer vision
problems with detailed hands-on development.

Developing tools and frameworks for deploying and maintaining ML and AI models.
Competency on coding of algorithms from scratch in Python, C++ and/or integrating
third party libraries

Good understanding of data structures, design patterns, algorithms,
performance optimization techniques and performance assessment

applications, object-oriented programming, webservers, databases, shell scripts,

version control systems, troubleshooting and debugging applications, and updating

system

Collaborate with internal and external team members on expertly implementing the
new features to the products or enhancing the existing features

Comfortable to work in fuzzy environments where boundaries arent clearly defined
 Knowledge with Deep Learning frameworks TensorFlow, Keras, Fastai and PyTorch

and Computer Vision libraries like OpenCV, OpenVino, SciPy, NumPy, TensorRT,

CUDA.

Good Understanding of Deep neural networks for 3D / LIDAR imagery
implementation Data preparation, model generation and deep training, and then

post image/video feed processing of the results Machine Learning Engineer",2024
196,Santulan,Healthcare / Pharmaceutical,Psychology,M.Sc,School of Sciences,Counselling psychologist (Hybrid),Bengaluru / Gurugram,PG,3-Apr-24,April,Fulltime,- -,2024
197,Biomerieux India Private Limited,IT / ITES,Biochemistry / Biotechnology / Microbiology ,M.Sc,School of Sciences,Trainee - Application Specialist,Bengaluru / Delhi,PG,12-Apr-24,April,Fulltime,- -,2024
198,Devigere Biosolutions Pvt Ltd,IT / ITES,Biochemistry / Biotechnology / chemistry / Microbiology,M.Sc,School of Sciences,Molecular Biology - Research Associate & Sales Associate,Bengaluru,PG,15-Apr-24,April,Fulltime,"Experience in Molecular Biology
Ability to set up and run SDS-PAGE
Experience in protein separation and purification techniques.
Experience in handling Spectrophotometer and MD reader.
Basic experience in HPLC handling.
Efficient in using MS tools.
Has good knowledge in statistics. Prospecting and Lead Generation: Identify potential customers through various channels such
 

as cold calling, networking, referrals, and online research.

 

Sales Presentations: Present products or services to prospective clients through face-to-face meetings, phone calls, and online demonstrations.
 

Understanding Customer Needs: Listen to customer requirements and tailor product/service offerings to meet their specific needs and preferences.
 

Negotiation and Closing: Negotiate terms of sale, pricing, and contracts to ensure mutual satisfaction and close deals effectively.
 

Relationship Management: Build and maintain long-term relationships with customers by providing excellent customer service, addressing concerns, and ensuring customer satisfaction.
 

Sales Reporting: Maintain accurate records of sales activities, including sales calls, meetings, and follow-up actions, using CRM software or other tracking tools.
 ",2024
199,Devigere Biosolutions Pvt Ltd,IT / ITES,Any Specialization,BCA / BMS / B.OPTM / M.Sc / MMS,School of Sciences,Molecular Biology - Research Associate & Sales Associate,Bengaluru,PG,16-Apr-24,April,Fulltime,"Experience in Molecular Biology
Ability to set up and run SDS-PAGE
Experience in protein separation and purification techniques.
Experience in handling Spectrophotometer and MD reader.
Basic experience in HPLC handling.
Efficient in using MS tools.
Has good knowledge in statistics. Prospecting and Lead Generation: Identify potential customers through various channels such
 

as cold calling, networking, referrals, and online research.

 

Sales Presentations: Present products or services to prospective clients through face-to-face meetings, phone calls, and online demonstrations.
 

Understanding Customer Needs: Listen to customer requirements and tailor product/service offerings to meet their specific needs and preferences.
 

Negotiation and Closing: Negotiate terms of sale, pricing, and contracts to ensure mutual satisfaction and close deals effectively.
 

Relationship Management: Build and maintain long-term relationships with customers by providing excellent customer service, addressing concerns, and ensuring customer satisfaction.
 

Sales Reporting: Maintain accurate records of sales activities, including sales calls, meetings, and follow-up actions, using CRM software or other tracking tools.
 ",2024
